sample_id,source,geo_id,H_m,lambda,M_m,q_top_MPa,alpha_E_roof,alpha_c_roof,phi_roof_deg,alpha_t_roof,required_support_pressure_MPa,required_case_id,label_status
stage3_g060,stage3,g060,1191.72,1.24461,3.37724,26.5613,0.890576,1.22353,33.5774,0.718301,0.8,s3_g060_p02,labeled
stage4_g001,stage4,g001,826.904,1.42227,3.45176,17.8057,0.72574,1.0273,29.4283,1.00465,0.5,s4_g001_p01,labeled
stage4_g002,stage4,g002,1186.8,1.39543,3.82945,26.4432,0.970223,0.895184,39.5259,1.28244,1.1,s4_g002_p03,labeled
stage4_g003,stage4,g003,1001.79,0.897283,5.8416,22.003,1.18095,1.05441,27.5362,0.704937,2,s4_g003_p06,labeled
stage4_g004,stage4,g004,917.229,1.35674,4.12879,19.9735,1.38639,0.861366,33.7372,0.8504,0.5,s4_g004_p01,labeled
stage4_g005,stage4,g005,860.684,1.17685,5.47242,18.6164,1.0576,1.1831,32.9772,0.815806,0.5,s4_g005_p01,labeled
stage4_g006,stage4,g006,1056.23,1.0171,4.01925,23.3094,0.784455,0.689162,25.8165,0.734714,2.6,s4_g006_p08,labeled
stage4_g007,stage4,g007,1119.94,0.959229,5.31584,24.8385,0.836676,0.673908,33.1111,0.885445,2.6,s4_g007_p08,labeled
stage4_g008,stage4,g008,1029.25,1.482,4.05387,22.662,0.659643,0.837042,39.2405,0.942501,0.5,s4_g008_p01,labeled
stage4_g009,stage4,g009,1082.55,1.0547,3.29377,23.9411,1.15412,1.19435,31.0689,1.11462,0.8,s4_g009_p02,labeled
stage4_g010,stage4,g010,1105.7,1.14442,5.0864,24.4968,1.2021,0.706064,38.6201,0.548244,1.7,s4_g010_p05,labeled
stage4_g011,stage4,g011,988.829,1.07551,3.07237,21.6919,1.12413,1.13821,25.4429,0.980986,0.8,s4_g011_p02,labeled
